,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1447611179224891394,2021-10-11 17:12:55+00:00,"Came across this lovely thread on the culture and heritage of Gujarat. There are such treasures in every part of India, which have to be seen to be admired.   Our ancestors were indeed outstanding visionaries, from whom we have inherited such fine wonders. https://t.co/THKHwfvx3D",1630,7857,"Came across this lovely thread on the culture and heritage of Gujarat. There are such treasures in every part of India, which have to be seen to be admired.   Our ancestors were indeed outstanding visionaries, from whom we have inherited such fine wonders. https://t.co/THKHwfvx3D ",come across lovely thread culture heritage gujarat treasure every part india see admire ancestor indeed outstanding visionary inherit fine wonder,POSITIVE,POSITIVE,POSITIVE
1,1447601017210609670,2021-10-11 16:32:32+00:00,"At 11 AM tomorrow, 12th October, will address the 28th NHRC Foundation Day programme. The NHRC plays an important role in our nation in protecting the human rights and dignity of the marginalised.",2337,14011,"At 11 AM tomorrow, 12th October, will address the 28th NHRC Foundation Day programme. The NHRC plays an important role in our nation in protecting the human rights and dignity of the marginalised. ",tomorrow october address nhrc foundation day programme nhrc play important role nation protect human right dignity marginalise,POSITIVE,POSITIVE,POSITIVE
2,1447600812209831939,2021-10-11 16:31:43+00:00,"Shri Nedumudi Venu was a versatile actor, who could fill life into diverse roles across many genres. He was also a prolific writer and was passionate about theatre. His passing away is a loss to the world of films and culture. Condolences to his family and admirers. Om Shanti.",1726,9680,"Shri Nedumudi Venu was a versatile actor, who could fill life into diverse roles across many genres. He was also a prolific writer and was passionate about theatre. His passing away is a loss to the world of films and culture. Condolences to his family and admirers. Om Shanti. ",shri nedumudi venu versatile actor could fill life diverse role across many genre also prolific writer passionate theatre pass away loss world film culture condolence family admirer om shanti,NEUTRAL,POSITIVE,POSITIVE
3,1447553366230327303,2021-10-11 13:23:11+00:00,India is bringing in transformative reforms and the aim behind these reforms is to build an Aatmanirbhar Bharat. https://t.co/wNvrfqGjPQ,2756,13690,India is bringing in transformative reforms and the aim behind these reforms is to build an Aatmanirbhar Bharat. https://t.co/wNvrfqGjPQ ,india bring transformative reform aim behind reform build aatmanirbhar bharat,POSITIVE,NEUTRAL,NEGATIVE
4,1447553062667649027,2021-10-11 13:21:59+00:00,"For us, the space sector is about bringing a positive difference in the lives of 130 crore Indians. https://t.co/5MxcPthmRQ",1907,8109,"For us, the space sector is about bringing a positive difference in the lives of 130 crore Indians. https://t.co/5MxcPthmRQ ",us space sector bring positive difference live crore indian,POSITIVE,POSITIVE,POSITIVE
5,1447552975614873605,2021-10-11 13:21:38+00:00,The 4 pillars on which India is working to transform the space sector. https://t.co/eeyP7JrLcj,2046,8906,The 4 pillars on which India is working to transform the space sector. https://t.co/eeyP7JrLcj ,pillar india working transform space sector,POSITIVE,NEUTRAL,NEUTRAL
6,1447495350147637257,2021-10-11 09:32:39+00:00,"Was a pleasure to speak to Prime Minister @BorisJohnson. We reviewed progress on the India-UK Agenda 2030, exchanged views on climate action in the context of the forthcoming COP-26 in Glasgow, and shared our assessments on regional issues including Afghanistan.",3697,25827,"Was a pleasure to speak to Prime Minister @BorisJohnson. We reviewed progress on the India-UK Agenda 2030, exchanged views on climate action in the context of the forthcoming COP-26 in Glasgow, and shared our assessments on regional issues including Afghanistan. ",pleasure speak prime minister review progress india uk agenda exchange view climate action context forthcoming cop glasgow share assessment regional issue include afghanistan,POSITIVE,POSITIVE,POSITIVE
7,1447443874931097602,2021-10-11 06:08:06+00:00,Speaking at the launch of Indian Space Association. https://t.co/PWnwsL54Z8,3999,17824,Speaking at the launch of Indian Space Association. https://t.co/PWnwsL54Z8 ,speak launch indian space association,NEUTRAL,NEUTRAL,NEUTRAL
8,1447416935394676738,2021-10-11 04:21:03+00:00,"Tributes to Loknayak JP on his Jayanti. He was a remarkable personality, who left an indelible mark on India’s history. He devoted himself to public welfare initiatives and was at the forefront of protecting India’s democratic ethos. We are deeply inspired by his ideals. https://t.co/jx7et8MOzJ",3222,20398,"Tributes to Loknayak JP on his Jayanti. He was a remarkable personality, who left an indelible mark on India’s history. He devoted himself to public welfare initiatives and was at the forefront of protecting India’s democratic ethos. We are deeply inspired by his ideals. https://t.co/jx7et8MOzJ ",tribute loknayak jp jayanti remarkable personality leave indelible mark india history devote public welfare initiative forefront protect india democratic ethos deeply inspire ideal,POSITIVE,POSITIVE,POSITIVE
9,1447409763134758914,2021-10-11 03:52:33+00:00,"Pranams to the great visionary, Bharat Ratna Nanaji Deshmukh on  his Jayanti. He dedicated himself towards the development of our villages and empowering the industrious farmers. Sharing a speech I had delivered in 2017 to mark Nanaji’s birth centenary. https://t.co/KeWUhBvnPt https://t.co/jVkaRo4e9F",3714,21174,"Pranams to the great visionary, Bharat Ratna Nanaji Deshmukh on  his Jayanti. He dedicated himself towards the development of our villages and empowering the industrious farmers. Sharing a speech I had delivered in 2017 to mark Nanaji’s birth centenary. https://t.co/KeWUhBvnPt https://t.co/jVkaRo4e9F ",pranam great visionary bharat ratna nanaji deshmukh jayanti dedicate towards development village empower industrious farmer share speech deliver mark nanaji birth centenary,POSITIVE,POSITIVE,POSITIVE
10,1447408228359307265,2021-10-11 03:46:27+00:00,I bow to Maa Katyayani. May her blessings remain upon us and may they further the spirit of brotherhood and compassion in our society. https://t.co/5G8UFKfrUJ,8529,53982,I bow to Maa Katyayani. May her blessings remain upon us and may they further the spirit of brotherhood and compassion in our society. https://t.co/5G8UFKfrUJ ,bow maa katyayani may blessing remain upon we may spirit brotherhood compassion society,POSITIVE,POSITIVE,NEUTRAL
11,1447196877766553604,2021-10-10 13:46:37+00:00,"At 11 AM tomorrow, 11th October, I will join the programme to launch the  Indian Space Association. I am glad to be getting the opportunity to interact with leading stakeholders of the sector. Those interested in the world of space and innovation must watch tomorrow’s programme.",6559,44930,"At 11 AM tomorrow, 11th October, I will join the programme to launch the  Indian Space Association. I am glad to be getting the opportunity to interact with leading stakeholders of the sector. Those interested in the world of space and innovation must watch tomorrow’s programme. ",tomorrow october join programme launch indian space association glad get opportunity interact lead stakeholder sector interested world space innovation must watch tomorrow programme,POSITIVE,POSITIVE,POSITIVE
12,1447196443463217152,2021-10-10 13:44:54+00:00,Outstanding performance by our shooters! India emerges on top of the medal tally at the Shooting Junior World Championships with 40 medals including 16 Golds. Congratulations to the team and best wishes for the future. This  success will inspire several budding shooters. https://t.co/htz9e0SeqG,4169,24279,Outstanding performance by our shooters! India emerges on top of the medal tally at the Shooting Junior World Championships with 40 medals including 16 Golds. Congratulations to the team and best wishes for the future. This  success will inspire several budding shooters. https://t.co/htz9e0SeqG ,outstanding performance shooter india emerge top medal tally shoot junior world championship medal include gold congratulation team good wish future success inspire several budding shooter,POSITIVE,POSITIVE,POSITIVE
13,1447195870848372745,2021-10-10 13:42:37+00:00,Congratulations to @OLyAnshu for winning the Silver and @saritamor3 for winning the Bronze at the World Wrestling Championship 2021. Best wishes to these outstanding athletes for their future endeavours. https://t.co/2HNzheJ6G7,5597,44411,Congratulations to @OLyAnshu for winning the Silver and @saritamor3 for winning the Bronze at the World Wrestling Championship 2021. Best wishes to these outstanding athletes for their future endeavours. https://t.co/2HNzheJ6G7 ,congratulation win silver win bronze world wrestle championship good wish outstanding athlete future endeavour,POSITIVE,POSITIVE,POSITIVE
14,1447044045658722304,2021-10-10 03:39:19+00:00,नवरात्रि में देवी स्कंदमाता की उपासना की जाती है। मेरी प्रार्थना है कि मां स्कंदमाता अपने भक्तों को सभी कठिनाइयों से पार पाने की शक्ति प्रदान करें। https://t.co/gj20Iybo9K,10679,68285,Devi Skandmata is worshiped in Navratri. My prayer is that the mother Skandmata provides the power to cross her devotees from all the difficulties. https://t.co/gj20IYBO9K ,devi skandmata worship navratri prayer mother skandmata provide power cross devotee difficulty,NEUTRAL,POSITIVE,NEUTRAL
15,1447043103261560834,2021-10-10 03:35:35+00:00,We pray to Maa Kushmanda and seek her blessings for our various endeavours. Here is a Stuti dedicated to her. https://t.co/fdC3YA9fto,6863,41240,We pray to Maa Kushmanda and seek her blessings for our various endeavours. Here is a Stuti dedicated to her. https://t.co/fdC3YA9fto ,pray maa kushmanda seek blessing various endeavour stuti dedicate,POSITIVE,POSITIVE,NEUTRAL
16,1446846691039088643,2021-10-09 14:35:06+00:00,This is just one example of the monumental effort put in by every stakeholder to ensure our fellow citizens get vaccinated.   Kudos to each and every person who is making India’s vaccination drive a success. https://t.co/5L4yh0JNoR,9244,53205,This is just one example of the monumental effort put in by every stakeholder to ensure our fellow citizens get vaccinated.   Kudos to each and every person who is making India’s vaccination drive a success. https://t.co/5L4yh0JNoR ,one example monumental effort put every stakeholder ensure fellow citizen get vaccinated kudo every person make india vaccination drive success,POSITIVE,POSITIVE,POSITIVE
17,1446846331343892491,2021-10-09 14:33:41+00:00,Today is a special day for the wonderful people of the Konkan region and will surely give an impetus to connectivity and tourism. https://t.co/znchlIwH6V,3333,21915,Today is a special day for the wonderful people of the Konkan region and will surely give an impetus to connectivity and tourism. https://t.co/znchlIwH6V ,today special day wonderful people konkan region surely give impetus connectivity tourism,POSITIVE,POSITIVE,POSITIVE
18,1446759708321148931,2021-10-09 08:49:28+00:00,ਭਾਈ ਤਾਰੂ ਸਿੰਘ ਜੀ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਜਯੰਤੀ 'ਤੇ ਨਮਨ। ਆਉਣ ਵਾਲੀਆਂ ਪੀੜ੍ਹੀਆਂ ਉਨ੍ਹਾਂ ਦੀ ਬਹਾਦਰੀ ਨੂੰ ਕਦੇ ਨਹੀਂ ਭੁੱਲਣਗੀਆਂ। ਸੱਚ ਅਤੇ ਨਿਆਂ ਪ੍ਰਤੀ ਉਨ੍ਹਾਂ ਦੀ ਅਟੁੱਟ ਪ੍ਰਤੀਬੱਧਤਾ ਅਤਿਅੰਤ ਪ੍ਰੇਰਣਾਦਾਇਕ ਹੈ।,2337,18860,Honesty on his Jayunti to Bhai Taru Singh Ji. The future generations will never forget their bravery. His unbreaked commitment to truth and justice is very inspiring. ,honesty jayunti bhai taru singh ji future generation never forget bravery unbreaked commitment truth justice inspire,POSITIVE,POSITIVE,NEUTRAL
19,1446759646954360833,2021-10-09 08:49:13+00:00,Remembering Bhai Taru Singh Ji on his Jayanti. Generations to come will never forget his bravery. His unwavering commitment to truth and justice are deeply inspiring.,3576,22978,Remembering Bhai Taru Singh Ji on his Jayanti. Generations to come will never forget his bravery. His unwavering commitment to truth and justice are deeply inspiring. ,remember bhai taru singh ji jayanti generation come never forget bravery unwavere commitment truth justice deeply inspiring,POSITIVE,POSITIVE,POSITIVE
20,1446758708629835782,2021-10-09 08:45:30+00:00,Great pleasure to welcome PM Mette Frederiksen on her first visit to India. Our Green Strategic Partnership is focused on clean technologies and green growth. Our collaboration across sectors is vibrant and dynamic.   @Statsmin https://t.co/fgyuoMp8TF,4965,33801,Great pleasure to welcome PM Mette Frederiksen on her first visit to India. Our Green Strategic Partnership is focused on clean technologies and green growth. Our collaboration across sectors is vibrant and dynamic.   @Statsmin https://t.co/fgyuoMp8TF ,great pleasure welcome pm mette frederiksen first visit india green strategic partnership focus clean technology green growth collaboration across sector vibrant dynamic,POSITIVE,POSITIVE,POSITIVE
21,1446734460888645633,2021-10-09 07:09:09+00:00,Addressing a joint press meet with Prime Minister of Denmark @Statsmin Mette Frederiksen. https://t.co/rIRzOngzhq,4333,19914,Addressing a joint press meet with Prime Minister of Denmark @Statsmin Mette Frederiksen. https://t.co/rIRzOngzhq ,address joint press meet prime minister denmark mette frederiksen,NEUTRAL,NEUTRAL,NEUTRAL
22,1446643190535102472,2021-10-09 01:06:28+00:00,मां चंद्रघंटा के चरणों में शीश झुकाकर नमन। देवी चंद्रघंटा अपने सभी भक्तों को नकारात्मक शक्तियों पर विजय का आशीर्वाद दें। इस अवसर पर उनसे जुड़ी स्तुति... https://t.co/hQHqM7uisK,12898,73650,Sheesh bowed down at the feet of Mother Chandraghanta. Goddess Chandrhanta blessings to victory over negative powers to all its devotees. Praise from them on this occasion ... https://t.co/HQHQM7UISK ,sheesh bow foot mother chandraghanta goddess chandrhanta blessing victory negative power devotee praise occasion,NEGATIVE,POSITIVE,NEGATIVE
23,1446473633262542852,2021-10-08 13:52:43+00:00,"Its been a delight to work with @SubramanianKri. His academic brilliance, unique perspectives on key economic as well as policy matters and reformist zeal are noteworthy. Wishing him the very best for his coming endeavours. https://t.co/jZjrqWaJU7",3431,20678,"Its been a delight to work with @SubramanianKri. His academic brilliance, unique perspectives on key economic as well as policy matters and reformist zeal are noteworthy. Wishing him the very best for his coming endeavours. https://t.co/jZjrqWaJU7 ",delight work academic brilliance unique perspective key economic well policy matter reformist zeal noteworthy wish good come endeavour,POSITIVE,POSITIVE,POSITIVE
24,1446415096583016448,2021-10-08 10:00:06+00:00,Spoke with H.E. Fumio Kishida to congratulate him for assuming charge as the Prime Minister of Japan. I look forward to working with him to further strengthen India-Japan Special Strategic and Global Partnership and to enhance cooperation in the Indo-Pacific region. @kishida230,4778,33162,Spoke with H.E. Fumio Kishida to congratulate him for assuming charge as the Prime Minister of Japan. I look forward to working with him to further strengthen India-Japan Special Strategic and Global Partnership and to enhance cooperation in the Indo-Pacific region. @kishida230 ,speak h e fumio kishida congratulate assume charge prime minister japan look forward work strengthen india japan special strategic global partnership enhance cooperation indo pacific region,POSITIVE,POSITIVE,POSITIVE
