,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1446419372118093825,2021-10-08 10:17:06+00:00,Congratulations to Ressa &amp; Muratov on the @NobelPrize. The Comittee underscores that they represent all journalists who stand up for freedom of speech when democracy and press freedom face increasingly adverse conditions. @mariaressa @novaya_gazeta,70,265,Congratulations to Ressa &amp; Muratov on the @NobelPrize. The Comittee underscores that they represent all journalists who stand up for freedom of speech when democracy and press freedom face increasingly adverse conditions. @mariaressa @novaya_gazeta ,congratulation ressa muratov comittee underscore represent journalist stand freedom speech democracy press freedom face increasingly adverse condition,POSITIVE,POSITIVE,NEUTRAL
1,1439974922982408199,2021-09-20 15:29:09+00:00,"Norway's new target is to cut emissions by at least 50 % by 2030. More countries, especially large economies, need to raise their ambition level ahead of #COP26  #UNGA @antonioguterres @norwayUN",84,427,"Norway's new target is to cut emissions by at least 50 % by 2030. More countries, especially large economies, need to raise their ambition level ahead of #COP26  #UNGA @antonioguterres @norwayUN ",norway new target cut emission least country especially large economy need raise ambition level ahead,NEUTRAL,NEGATIVE,POSITIVE
2,1436610974677676032,2021-09-11 08:42:01+00:00,"20 years have passed, but we will always remember the lives lost so cruelly on 9/11. The attacks brought the world together in the fight against international terrorism and extremism. Our societies remain free and open. No act of terror can ever change who we are. #NeverForget",67,540,"20 years have passed, but we will always remember the lives lost so cruelly on 9/11. The attacks brought the world together in the fight against international terrorism and extremism. Our societies remain free and open. No act of terror can ever change who we are. #NeverForget ",year pass always remember life lose cruelly attack bring world together fight international terrorism extremism society remain free open no act terror ever change,NEUTRAL,NEGATIVE,NEGATIVE
3,1435664812856463368,2021-09-08 18:02:19+00:00,"Gratulerer , ser frem til spennende utvikling! https://t.co/5h0mWESKCr",3,60,"Congratulations, looking forward to exciting development! https://t.co/5h0mweskcr ",congratulation look forward exciting development,POSITIVE,POSITIVE,POSITIVE
4,1431955591006760973,2021-08-29 12:23:12+00:00,"Gratulerer med verdensrekord og gull i Tokyo, Salum Kashafali. Du er et fantastisk forbilde. #Paralympics @idrett",13,204,"Congratulations on world record and gold in Tokyo, Salum Kashafali. You are a wonderful role model. #Paralympics @Idrett ",congratulations world record gold tokyo salum kashafali wonderful role model,POSITIVE,POSITIVE,POSITIVE
5,1431841104584925186,2021-08-29 04:48:16+00:00,Et imponerende løp av en imponerende idrettsutøver. Gratulerer med gull @BirgitSkarstein #Paralympics  @idrett,10,157,An impressive race of an impressive athlete. Congratulations on gold @birgitskarstein #paralympics @Idrett ,impressive race impressive athlete congratulation gold,POSITIVE,POSITIVE,POSITIVE
6,1430095485289865216,2021-08-24 09:11:48+00:00,Store idrettsprestasjoner i vente når #Paralympics starter i dag. Lykke til #teamnorway,8,145,Great sports performance in store when #paralympics start today. Good luck #TeamNorway ,great sport performance store start today good luck,POSITIVE,POSITIVE,POSITIVE
7,1427277729209196549,2021-08-16 14:35:02+00:00,"Dear @Malala, thank you for advocating for women and girls and for protection of civilians during the turmoil we see in Afghanistan now. Norway will heed your call in our work in the #SecurityCouncil https://t.co/L3qNpSYC2I",335,3167,"Dear @Malala, thank you for advocating for women and girls and for protection of civilians during the turmoil we see in Afghanistan now. Norway will heed your call in our work in the #SecurityCouncil https://t.co/L3qNpSYC2I ",dear thank advocate woman girl protection civilian turmoil see afghanistan norway heed call work,POSITIVE,POSITIVE,NEUTRAL
8,1426646815743561733,2021-08-14 20:48:01+00:00,I convey my condolences to friends and families of those who have lost their lives in the devastating #Haitiearthquake. My thoughts are with the people of #Haiti,24,214,I convey my condolences to friends and families of those who have lost their lives in the devastating #Haitiearthquake. My thoughts are with the people of #Haiti ,convey condolence friend family lose life devastating thought people,NEGATIVE,NEGATIVE,NEGATIVE
9,1423980167232462852,2021-08-07 12:11:42+00:00,"Gratulerer med OL-gull på 1500-meter, og et løp for historiebøkene, Jakob Ingebrigtsen! #Olympics #gullørdag",20,378,"Congratulations on Olympic gold at 1500 meters, and a race for the history books, Jakob Ingebrigtsen! #Olympics # Goldørdag ",congratulation olympic gold meter race history book jakob ingebrigtsen gold rdag,POSITIVE,POSITIVE,NEUTRAL
10,1423875079725887490,2021-08-07 05:14:07+00:00,Gratulerer Anders Mol og Christian Sørum med Norges første OL-gull i sandvolleyball! En fantastisk prestasjon. #Olympics,12,375,Congratulations Anders Mol and Christian Sørum with Norway's first Olympic gold in Sand Volleyball! A fantastic achievement. #Olympics ,congratulations anders mol christian rum norway first olympic gold sand volleyball fantastic achievement,POSITIVE,POSITIVE,POSITIVE
11,1422407855014129666,2021-08-03 04:03:54+00:00,Du er helt fantastisk @kwarholm . Gratulerer med OL-gull og ny fantastisk verdensrekord. For et løp!,26,812,You are absolutely fantastic @kwarholm. Congratulations on Olympic Gold and New Wonderful World Record. For a race! ,absolutely fantastic congratulation olympic gold new wonderful world record race,POSITIVE,POSITIVE,POSITIVE
12,1420731487121559554,2021-07-29 13:02:37+00:00,"Education, more than ever before, holds the key to unlocking sustainable development. Today I have announced that Norway will support GPEs ""#RaiseYourHand "" financing campaign with US$430 million. ⁦@GPforEducation⁩ https://t.co/COZQ5MRW0O",37,180,"Education, more than ever before, holds the key to unlocking sustainable development. Today I have announced that Norway will support GPEs ""#RaiseYourHand "" financing campaign with US$430 million. ⁦@GPforEducation⁩ https://t.co/COZQ5MRW0O ",education ever hold key unlocking sustainable development today announce norway support gpe financing campaign we million,POSITIVE,POSITIVE,NEUTRAL
13,1419552733858832384,2021-07-26 06:58:40+00:00,Herlig med første OL-gull i natt til Norge og Bergen! Gratulerer til Kristian Blummenfelt for triumfen i Triatlon🥇 #Olympics2021 #Triathlon @idrett,22,466,Lovely with first Olympic gold last night to Norway and Bergen! Congratulations to Kristian Blummen field for the triumph in triumlon🥇 # Olympics2021 #Triathlon @Idrett ,lovely first olympic gold last night norway bergen congratulations kristian blummen field triumph triumlon,POSITIVE,POSITIVE,POSITIVE
